ENTITYA,TYPEA,IDA,DATABASEA,MECHANISM,ENTITYB,TYPEB,IDB,DATABASEB,IDB,data_column
PPP1CA,protein,P62136,UNIPROT,dephosphorylation,CAD,protein,P27708,UNIPROT,P27708,1985-12-30
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,LEF1,protein,Q9UJU2,UNIPROT,Q9UJU2,1985-07-06
NLK,protein,Q9UBE8,UNIPROT,phosphorylation,TCF4,protein,P15884,UNIPROT,P15884,1985-07-06
prednisone,chemical,CHEBI:8382,ChEBI,chemical_activation,NR3C1,protein,P04150,UNIPROT,P04150,1985-11-01
PRKCA,protein,P17252,UNIPROT,phosphorylation,SRC,protein,P12931,UNIPROT,P12931,1985-10-01
PRKACA,protein,P17612,UNIPROT,phosphorylation,MBP,protein,P02686,UNIPROT,P02686,1985-10-15
PRKACA,protein,P17612,UNIPROT,phosphorylation,MBP,protein,P02686,UNIPROT,P02686,1985-10-15
PRKCA,protein,P17252,UNIPROT,phosphorylation,MBP,protein,P02686,UNIPROT,P02686,1985-10-15
PRKACA,protein,P17612,UNIPROT,phosphorylation,MBP,protein,P02686,UNIPROT,P02686,1985-10-15
PRKACA,protein,P17612,UNIPROT,phosphorylation,MBP,protein,P02686,UNIPROT,P02686,1985-10-15
PRKCA,protein,P17252,UNIPROT,phosphorylation,MBP,protein,P02686,UNIPROT,P02686,1985-10-15
PRKCA,protein,P17252,UNIPROT,phosphorylation,MBP,protein,P02686,UNIPROT,P02686,1985-10-15
PRKCA,protein,P17252,UNIPROT,phosphorylation,MBP,protein,P02686,UNIPROT,P02686,1985-10-15
PRKACA,protein,P17612,UNIPROT,phosphorylation,MBP,protein,P02686,UNIPROT,P02686,1985-10-15
PRKCA,protein,P17252,UNIPROT,phosphorylation,MBP,protein,P02686,UNIPROT,P02686,1985-10-15
PRKCA,protein,P17252,UNIPROT,phosphorylation,MBP,protein,P02686,UNIPROT,P02686,1985-10-15
PRKACA,protein,P17612,UNIPROT,phosphorylation,MBP,protein,P02686,UNIPROT,P02686,1985-10-15
PRKCA,protein,P17252,UNIPROT,phosphorylation,MBP,protein,P02686,UNIPROT,P02686,1985-10-15
MAOA,protein,P21397,UNIPROT,chemical_modification,(R)-noradrenaline,smallmolecule,CHEBI:18357,ChEBI,CHEBI:18357,1986-01-01
MAOB,protein,P27338,UNIPROT,chemical_modification,(R)-noradrenaline,smallmolecule,CHEBI:18357,ChEBI,CHEBI:18357,1986-01-01
IL1RN,protein,P18510,UNIPROT,binding,IL1R1,protein,P14778,UNIPROT,P14778,1986-01-01
MAOB,protein,P27338,UNIPROT,chemical_modification,(R)-adrenaline,smallmolecule,CHEBI:28918,ChEBI,CHEBI:28918,1986-01-01
MAOA,protein,P21397,UNIPROT,chemical_modification,(R)-adrenaline,smallmolecule,CHEBI:28918,ChEBI,CHEBI:28918,1986-01-01
BCKDK,protein,O14874,UNIPROT,phosphorylation,BCKDHA,protein,P12694,UNIPROT,P12694,1986-01-01
PRKCA,protein,P17252,UNIPROT,phosphorylation,ANXA2,protein,P07355,UNIPROT,P07355,1986-07-01
PRKCA,protein,P17252,UNIPROT,phosphorylation,HLA-A,protein,P04439,UNIPROT,P04439,1986-06-25
CS,protein,O75390,UNIPROT,chemical_modification,oxaloacetate(2-),smallmolecule,CHEBI:16452,ChEBI,CHEBI:16452,1986-01-01
CS,protein,O75390,UNIPROT,chemical_modification,acetyl-CoA,smallmolecule,CHEBI:15351,ChEBI,CHEBI:15351,1986-01-01
acetyl-CoA,smallmolecule,CHEBI:15351,ChEBI,precursor_of,citrate(3-),smallmolecule,CHEBI:16947,ChEBI,CHEBI:16947,1986-01-01
CS,protein,O75390,UNIPROT,chemical_modification,citrate(3-),smallmolecule,CHEBI:16947,ChEBI,CHEBI:16947,1986-01-01
CS,protein,O75390,UNIPROT,chemical_modification,oxaloacetate(2-),smallmolecule,CHEBI:16452,ChEBI,CHEBI:16452,1986-01-01
oxaloacetate(2-),smallmolecule,CHEBI:16452,ChEBI,precursor_of,citrate(3-),smallmolecule,CHEBI:16947,ChEBI,CHEBI:16947,1986-01-01
Adechlorin,chemical,CID:125913,PUBCHEM,chemical_inhibition,ADA,protein,P00813,UNIPROT,P00813,1986-01-01
Pentostatin,chemical,CID:439693,PUBCHEM,chemical_inhibition,ADA,protein,P00813,UNIPROT,P00813,1986-01-01
AKT1,protein,P31749,UNIPROT,phosphorylation,METTL1,protein,Q9UBP6,UNIPROT,Q9UBP6,1987-06-30
CAMK2G,protein,Q13555,UNIPROT,phosphorylation,SYN1,protein,P17600,UNIPROT,P17600,1987-11-01
CAMK2G,protein,Q13555,UNIPROT,phosphorylation,SYN1,protein,P17600,UNIPROT,P17600,1987-11-01
KHSRP,protein,Q92945,UNIPROT,binding,DVL3,protein,Q92997,UNIPROT,Q92997,1988-01-01
CSNK2A2,protein,P19784,UNIPROT,phosphorylation,CLTB,protein,P09497,UNIPROT,P09497,1988-04-25
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,CLTB,protein,P09497,UNIPROT,P09497,1988-04-25
CSNK2A2,protein,P19784,UNIPROT,phosphorylation,CLTB,protein,P09497,UNIPROT,P09497,1988-04-25
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,CLTB,protein,P09497,UNIPROT,P09497,1988-04-25
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,ACACA,protein,Q13085,UNIPROT,Q13085,1988-08-01
PRKACA,protein,P17612,UNIPROT,phosphorylation,ACACA,protein,Q13085,UNIPROT,Q13085,1988-08-01
CSNK2A2,protein,P19784,UNIPROT,phosphorylation,ACACA,protein,Q13085,UNIPROT,Q13085,1988-08-01
INSR,protein,P06213,UNIPROT,phosphorylation,CALM2,protein,P0DP24,UNIPROT,P0DP24,1988-08-15
EGFR,protein,P00533,UNIPROT,phosphorylation,CALM2,protein,P0DP24,UNIPROT,P0DP24,1988-08-15
EGFR,protein,P00533,UNIPROT,phosphorylation,CALM3,protein,P0DP25,UNIPROT,P0DP25,1988-08-15
INSR,protein,P06213,UNIPROT,phosphorylation,CALM3,protein,P0DP25,UNIPROT,P0DP25,1988-08-15
INSR,protein,P06213,UNIPROT,phosphorylation,CALM1,protein,P0DP23,UNIPROT,P0DP23,1988-08-15
EGFR,protein,P00533,UNIPROT,phosphorylation,CALM1,protein,P0DP23,UNIPROT,P0DP23,1988-08-15
EIF2AK1,protein,Q9BQI3,UNIPROT,phosphorylation,EIF2S1,protein,P05198,UNIPROT,P05198,1988-02-01
EIF2AK1,protein,Q9BQI3,UNIPROT,phosphorylation,EIF2S1,protein,P05198,UNIPROT,P05198,1988-02-01
INSR,protein,P06213,UNIPROT,phosphorylation,INSR,protein,P06213,UNIPROT,P06213,1988-02-25
INSR,protein,P06213,UNIPROT,phosphorylation,INSR,protein,P06213,UNIPROT,P06213,1988-02-25
INSR,protein,P06213,UNIPROT,phosphorylation,INSR,protein,P06213,UNIPROT,P06213,1988-02-25
PPP2CA,protein,P67775,UNIPROT,dephosphorylation,RPS6KB1,protein,P23443,UNIPROT,P23443,1988-01-25
CSNK1E,protein,P49674,UNIPROT,phosphorylation,CTNND1,protein,O60716,UNIPROT,O60716,1988-06-01
INSR,protein,P06213,UNIPROT,phosphorylation,INSR,protein,P06213,UNIPROT,P06213,1988-06-01
INSR,protein,P06213,UNIPROT,phosphorylation,INSR,protein,P06213,UNIPROT,P06213,1988-06-01
INSR,protein,P06213,UNIPROT,phosphorylation,INSR,protein,P06213,UNIPROT,P06213,1988-06-01
INSR,protein,P06213,UNIPROT,phosphorylation,INSR,protein,P06213,UNIPROT,P06213,1988-06-01
INSR,protein,P06213,UNIPROT,phosphorylation,INSR,protein,P06213,UNIPROT,P06213,1988-06-01
PYGM,protein,P11217,UNIPROT,chemical_modification,alpha-D-glucose 1-phosphate(2-),smallmolecule,CHEBI:58601,ChEBI,CHEBI:58601,1988-03-15
PYGM,protein,P11217,UNIPROT,chemical_modification,glycogen,smallmolecule,CHEBI:28087,ChEBI,CHEBI:28087,1988-03-15
glycogen,smallmolecule,CHEBI:28087,ChEBI,precursor_of,alpha-D-glucose 1-phosphate(2-),smallmolecule,CHEBI:58601,ChEBI,CHEBI:58601,1988-03-15
PYGB,protein,P11216,UNIPROT,chemical_modification,alpha-D-glucose 1-phosphate(2-),smallmolecule,CHEBI:58601,ChEBI,CHEBI:58601,1988-03-15
glycogen,smallmolecule,CHEBI:28087,ChEBI,precursor_of,alpha-D-glucose 1-phosphate(2-),smallmolecule,CHEBI:58601,ChEBI,CHEBI:58601,1988-03-15
PYGM,protein,P11217,UNIPROT,chemical_modification,glycogen,smallmolecule,CHEBI:28087,ChEBI,CHEBI:28087,1988-03-15
glycogen,smallmolecule,CHEBI:28087,ChEBI,precursor_of,alpha-D-glucose 1-phosphate(2-),smallmolecule,CHEBI:58601,ChEBI,CHEBI:58601,1988-03-15
