ENTITYA,TYPEA,IDA,DATABASEA,MECHANISM,ENTITYB,TYPEB,IDB,DATABASEB,IDB,data_column
CAMK2A,protein,Q9UQM7,UNIPROT,phosphorylation,MAPT,protein,P10636,UNIPROT,P10636,1999-03-23
PRKAA1,protein,Q13131,UNIPROT,phosphorylation,MAPT,protein,P10636,UNIPROT,P10636,1999-03-23
PRKCI,protein,P41743,UNIPROT,phosphorylation,MAPT,protein,P10636-2,UNIPROT,P10636-2,1999-03-23
PRKCZ,protein,Q05513,UNIPROT,phosphorylation,MAPT,protein,P10636-2,UNIPROT,P10636-2,1999-03-23
ZBTB14,protein,O43829,UNIPROT,transcriptional_regulation,MYC,protein,P01106,UNIPROT,P01106,1999-03-24
MITF,protein,O75030,UNIPROT,transcriptional_regulation,TYR,protein,P14679,UNIPROT,P14679,1999-03-24
ZBTB14,protein,O43829,UNIPROT,binding,ZBTB14,protein,O43829,UNIPROT,O43829,1999-03-24
PI4K2B,protein,Q8TCG2,UNIPROT,chemical_modification,1-phosphatidyl-1D-myo-inositol 4-phosphate,smallmolecule,CHEBI:17526,ChEBI,CHEBI:17526,1999-03-25
PI4KA,protein,P42356,UNIPROT,chemical_modification,1-phosphatidyl-1D-myo-inositol(1-),smallmolecule,CHEBI:57880,ChEBI,CHEBI:57880,1999-03-25
1-phosphatidyl-1D-myo-inositol(1-),smallmolecule,CHEBI:57880,ChEBI,precursor_of,1-phosphatidyl-1D-myo-inositol 4-phosphate,smallmolecule,CHEBI:17526,ChEBI,CHEBI:17526,1999-03-25
FBXW11,protein,Q9UKB1,UNIPROT,binding,IKBKB,protein,O14920,UNIPROT,O14920,1999-03-25
PI4KA,protein,P42356,UNIPROT,chemical_modification,ADP(3-),smallmolecule,CHEBI:456216,ChEBI,CHEBI:456216,1999-03-25
PI4KA,protein,P42356,UNIPROT,chemical_modification,1-phosphatidyl-1D-myo-inositol 4-phosphate,smallmolecule,CHEBI:17526,ChEBI,CHEBI:17526,1999-03-25
PI4K2B,protein,Q8TCG2,UNIPROT,chemical_modification,ADP(3-),smallmolecule,CHEBI:456216,ChEBI,CHEBI:456216,1999-03-25
PI4KA,protein,P42356,UNIPROT,chemical_modification,ATP(4-),smallmolecule,CHEBI:30616,ChEBI,CHEBI:30616,1999-03-25
PI4K2B,protein,Q8TCG2,UNIPROT,chemical_modification,ATP(4-),smallmolecule,CHEBI:30616,ChEBI,CHEBI:30616,1999-03-25
PI4K2B,protein,Q8TCG2,UNIPROT,chemical_modification,1-phosphatidyl-1D-myo-inositol(1-),smallmolecule,CHEBI:57880,ChEBI,CHEBI:57880,1999-03-25
FBXW11,protein,Q9UKB1,UNIPROT,binding,CHUK,protein,O15111,UNIPROT,O15111,1999-03-25
ATP(4-),smallmolecule,CHEBI:30616,ChEBI,precursor_of,ADP(3-),smallmolecule,CHEBI:456216,ChEBI,CHEBI:456216,1999-03-25
LCK,protein,P06239,UNIPROT,phosphorylation,IL2RB,protein,P14784,UNIPROT,P14784,1999-03-26
Ac-Asp-Glu(3-),smallmolecule,CHEBI:76931,ChEBI,precursor_of,L-glutamate(1-),smallmolecule,CHEBI:29985,ChEBI,CHEBI:29985,1999-03-26
CDK7,protein,P50613,UNIPROT,phosphorylation,CDK2,protein,P24941,UNIPROT,P24941,1999-03-26
LCK,protein,P06239,UNIPROT,phosphorylation,IL2RB,protein,P14784,UNIPROT,P14784,1999-03-26
GRK3,protein,P35626,UNIPROT,phosphorylation,CCR5,protein,P51681,UNIPROT,P51681,1999-03-26
LCK,protein,P06239,UNIPROT,phosphorylation,IL2RB,protein,P14784,UNIPROT,P14784,1999-03-26
MAPK12,protein,P53778,UNIPROT,phosphorylation,ATF2,protein,P15336,UNIPROT,P15336,1999-03-26
GRK3,protein,P35626,UNIPROT,phosphorylation,CCR5,protein,P51681,UNIPROT,P51681,1999-03-26
PAK1,protein,Q13153,UNIPROT,phosphorylation,MYLK,protein,Q15746,UNIPROT,Q15746,1999-03-26
Ac-Asp-Glu(3-),smallmolecule,CHEBI:76931,ChEBI,precursor_of,N-acetyl-L-aspartate(2-),smallmolecule,CHEBI:16953,ChEBI,CHEBI:16953,1999-03-26
NAALAD2,protein,Q9Y3Q0,UNIPROT,chemical_modification,L-glutamate(1-),smallmolecule,CHEBI:29985,ChEBI,CHEBI:29985,1999-03-26
LCK,protein,P06239,UNIPROT,phosphorylation,IL2RB,protein,P14784,UNIPROT,P14784,1999-03-26
MAPK11,protein,Q15759,UNIPROT,phosphorylation,ATF2,protein,P15336,UNIPROT,P15336,1999-03-26
LCK,protein,P06239,UNIPROT,phosphorylation,IL2RB,protein,P14784,UNIPROT,P14784,1999-03-26
MAPK14,protein,Q16539,UNIPROT,phosphorylation,ATF2,protein,P15336,UNIPROT,P15336,1999-03-26
NAALAD2,protein,Q9Y3Q0,UNIPROT,chemical_modification,N-acetyl-L-aspartate(2-),smallmolecule,CHEBI:16953,ChEBI,CHEBI:16953,1999-03-26
MAPK14,protein,Q16539,UNIPROT,phosphorylation,ATF2,protein,P15336,UNIPROT,P15336,1999-03-26
MAPK14,protein,Q16539,UNIPROT,phosphorylation,ATF2,protein,P15336,UNIPROT,P15336,1999-03-26
NAALAD2,protein,Q9Y3Q0,UNIPROT,chemical_modification,Ac-Asp-Glu(3-),smallmolecule,CHEBI:76931,ChEBI,CHEBI:76931,1999-03-26
GRK3,protein,P35626,UNIPROT,phosphorylation,CCR5,protein,P51681,UNIPROT,P51681,1999-03-26
MAPK14,protein,Q16539,UNIPROT,phosphorylation,ATF2,protein,P15336,UNIPROT,P15336,1999-03-26
GRK3,protein,P35626,UNIPROT,phosphorylation,CCR5,protein,P51681,UNIPROT,P51681,1999-03-26
MYLK,protein,Q15746,UNIPROT,phosphorylation,MYL6B,protein,P14649,UNIPROT,P14649,1999-03-26
ERBB2,protein,P04626,UNIPROT,binding,SHC1,protein,P29353,UNIPROT,P29353,1999-03-26
AREG,protein,P15514,UNIPROT,binding,EGFR,protein,P00533,UNIPROT,P00533,1999-03-26
rizatriptan,chemical,CHEBI:48273,ChEBI,chemical_activation,HTR1D,protein,P28221,UNIPROT,P28221,1999-03-05
LCK,protein,P06239,UNIPROT,phosphorylation,ZAP70,protein,P43403,UNIPROT,P43403,1999-03-05
eletriptan,chemical,CHEBI:50922,ChEBI,chemical_activation,HTR1D,protein,P28221,UNIPROT,P28221,1999-03-05
naratriptan,chemical,CHEBI:7478,ChEBI,chemical_activation,HTR1D,protein,P28221,UNIPROT,P28221,1999-03-05
SRC,protein,P12931,UNIPROT,phosphorylation,CLTC,protein,Q00610,UNIPROT,Q00610,1999-03-05
zolmitriptan,chemical,CHEBI:10124,ChEBI,chemical_activation,HTR1D,protein,P28221,UNIPROT,P28221,1999-03-05
ZAP70,protein,P43403,UNIPROT,phosphorylation,ZAP70,protein,P43403,UNIPROT,P43403,1999-03-05
sumatriptan,chemical,CHEBI:10650,ChEBI,chemical_activation,HTR1D,protein,P28221,UNIPROT,P28221,1999-03-05
GATA1,protein,P15976,UNIPROT,transcriptional_regulation,SPTA1,protein,P02549,UNIPROT,P02549,1999-03-05
RELA,protein,Q04206,UNIPROT,binding,CREBBP,protein,Q92793,UNIPROT,Q92793,1999-05-01
KLF11,protein,O14901,UNIPROT,transcriptional_regulation,HBG1,protein,P69891,UNIPROT,P69891,1999-05-01
CIITA,protein,P33076,UNIPROT,transcriptional_regulation,HLA-A,protein,P04439,UNIPROT,P04439,1999-05-01
NTRK3,protein,Q16288,UNIPROT,binding,PLCG1,protein,P19174,UNIPROT,P19174,1999-05-01
KLF11,protein,O14901,UNIPROT,transcriptional_regulation,HBG2,protein,P69892,UNIPROT,P69892,1999-05-01
KLF11,protein,O14901,UNIPROT,transcriptional_regulation,HBE1,protein,P02100,UNIPROT,P02100,1999-05-01
HIVEP2,protein,P31629,UNIPROT,transcriptional_regulation,SSTR2,protein,P30874,UNIPROT,P30874,1999-05-01
TCF4,protein,P15884,UNIPROT,transcriptional_regulation,SSTR2,protein,P30874,UNIPROT,P30874,1999-05-01
PMP22,protein,Q01453,UNIPROT,binding,MPZ,protein,P25189,UNIPROT,P25189,1999-05-01
LCK,protein,P06239,UNIPROT,binding,ZAP70,protein,P43403,UNIPROT,P43403,1999-05-14
GSK3B,protein,P49841,UNIPROT,binding,AXIN1,protein,O15169,UNIPROT,O15169,1999-05-14
TNFRSF6B,protein,O95407,UNIPROT,binding,FASLG,protein,P48023,UNIPROT,P48023,1999-05-14
AGRP,protein,O00253,UNIPROT,binding,MC3R,protein,P41968,UNIPROT,P41968,1999-05-14
AGRP,protein,O00253,UNIPROT,binding,MC4R,protein,P32245,UNIPROT,P32245,1999-05-14
MAPKAPK2,protein,P49137,UNIPROT,phosphorylation,SRF,protein,P11831,UNIPROT,P11831,1999-05-14
TRAF2,protein,Q12933,UNIPROT,binding,MAP3K1,protein,Q13233,UNIPROT,Q13233,1999-05-15
F2,protein,P00734,UNIPROT,cleavage,F8,protein,P00451,UNIPROT,P00451,1999-05-18
F2,protein,P00734,UNIPROT,cleavage,F8,protein,P00451,UNIPROT,P00451,1999-05-18
F2,protein,P00734,UNIPROT,cleavage,F8,protein,P00451,UNIPROT,P00451,1999-05-18
PRKCD,protein,Q05655,UNIPROT,phosphorylation,HNRNPK,protein,P61978,UNIPROT,P61978,1999-05-21
TP53,protein,P04637,UNIPROT,transcriptional_regulation,BCL2,protein,P10415,UNIPROT,P10415,1999-05-21
PRKCD,protein,Q05655,UNIPROT,phosphorylation,HNRNPK,protein,P61978,UNIPROT,P61978,1999-05-21
CDK2,protein,P24941,UNIPROT,phosphorylation,CDC6,protein,Q99741,UNIPROT,Q99741,1999-05-25
CDK2,protein,P24941,UNIPROT,phosphorylation,CDC6,protein,Q99741,UNIPROT,Q99741,1999-05-25
CDK2,protein,P24941,UNIPROT,phosphorylation,CDC6,protein,Q99741,UNIPROT,Q99741,1999-05-25
GRK6,protein,P43250,UNIPROT,phosphorylation,GRK6,protein,P43250,UNIPROT,P43250,1999-05-27
GRK6,protein,P43250,UNIPROT,phosphorylation,GRK6,protein,P43250,UNIPROT,P43250,1999-05-27
BTRC,protein,Q9Y297,UNIPROT,ubiquitination,CTNNB1,protein,P35222,UNIPROT,P35222,1999-05-04
GADD45A,protein,P24522,UNIPROT,binding,CDK1,protein,P06493,UNIPROT,P06493,1999-05-06
AKT1,protein,P31749,UNIPROT,phosphorylation,TERT,protein,O14746,UNIPROT,O14746,1999-05-07
DUSP5,protein,Q16690,UNIPROT,dephosphorylation,MAPK1,protein,P28482,UNIPROT,P28482,1999-05-07
DUSP3,protein,P51452,UNIPROT,dephosphorylation,MAPK3,protein,P27361,UNIPROT,P27361,1999-05-07
AKT1,protein,P31749,UNIPROT,phosphorylation,TERT,protein,O14746,UNIPROT,O14746,1999-05-07
DUSP3,protein,P51452,UNIPROT,dephosphorylation,MAPK1,protein,P28482,UNIPROT,P28482,1999-05-07
DUSP5,protein,Q16690,UNIPROT,dephosphorylation,MAPK3,protein,P27361,UNIPROT,P27361,1999-05-07
GGCX,protein,P38435,UNIPROT,carboxylation,F2,protein,P00734,UNIPROT,P00734,1999-11-01
CTSD,protein,P07339,UNIPROT,cleavage,APP,protein,P05067,UNIPROT,P05067,1999-11-01
MAPK8IP3,protein,Q9UPT6,UNIPROT,binding,MAP3K1,protein,Q13233,UNIPROT,Q13233,1999-11-01
GGCX,protein,P38435,UNIPROT,carboxylation,F2,protein,P00734,UNIPROT,P00734,1999-11-01
CTSD,protein,P07339,UNIPROT,cleavage,APP,protein,P05067,UNIPROT,P05067,1999-11-01
TNF,protein,P01375,UNIPROT,binding,TNFRSF1A,protein,P19438,UNIPROT,P19438,1999-11-01
ATF2,protein,P15336,UNIPROT,transcriptional_regulation,POLB,protein,P06746,UNIPROT,P06746,1999-11-01
CTSD,protein,P07339,UNIPROT,cleavage,APP,protein,P05067,UNIPROT,P05067,1999-11-01
homocysteine,smallmolecule,CHEBI:17230,ChEBI,precursor_of,methionine,smallmolecule,CHEBI:16811,ChEBI,CHEBI:16811,1999-11-01
GGCX,protein,P38435,UNIPROT,carboxylation,F2,protein,P00734,UNIPROT,P00734,1999-11-01
CTSD,protein,P07339,UNIPROT,cleavage,APP,protein,P05067,UNIPROT,P05067,1999-11-01
MAPK8IP3,protein,Q9UPT6,UNIPROT,binding,MAP2K4,protein,P45985,UNIPROT,P45985,1999-11-01
NTRK2,protein,Q16620,UNIPROT,phosphorylation,NTRK2,protein,Q16620,UNIPROT,Q16620,1999-11-01
GGCX,protein,P38435,UNIPROT,carboxylation,F2,protein,P00734,UNIPROT,P00734,1999-11-01
CTSD,protein,P07339,UNIPROT,cleavage,APP,protein,P05067,UNIPROT,P05067,1999-11-01
HOXD9,protein,P28356,UNIPROT,binding,MEIS1,protein,O00470,UNIPROT,O00470,1999-11-01
GGCX,protein,P38435,UNIPROT,carboxylation,F2,protein,P00734,UNIPROT,P00734,1999-11-01
MTR,protein,Q99707,UNIPROT,chemical_modification,(6S)-5-methyltetrahydrofolate(2-),smallmolecule,CHEBI:18608,ChEBI,CHEBI:18608,1999-11-01
NTRK2,protein,Q16620,UNIPROT,phosphorylation,NTRK2,protein,Q16620,UNIPROT,Q16620,1999-11-01
CTSD,protein,P07339,UNIPROT,cleavage,APP,protein,P05067,UNIPROT,P05067,1999-11-01
GGCX,protein,P38435,UNIPROT,carboxylation,F2,protein,P00734,UNIPROT,P00734,1999-11-01
MTR,protein,Q99707,UNIPROT,chemical_modification,methionine,smallmolecule,CHEBI:16811,ChEBI,CHEBI:16811,1999-11-01
NTRK2,protein,Q16620,UNIPROT,phosphorylation,NTRK2,protein,Q16620,UNIPROT,Q16620,1999-11-01
NTRK2,protein,Q16620,UNIPROT,phosphorylation,NTRK2,protein,Q16620,UNIPROT,Q16620,1999-11-01
GGCX,protein,P38435,UNIPROT,carboxylation,F2,protein,P00734,UNIPROT,P00734,1999-11-01
MTR,protein,Q99707,UNIPROT,chemical_modification,homocysteine,smallmolecule,CHEBI:17230,ChEBI,CHEBI:17230,1999-11-01
GGCX,protein,P38435,UNIPROT,carboxylation,F2,protein,P00734,UNIPROT,P00734,1999-11-01
CTSD,protein,P07339,UNIPROT,cleavage,APP,protein,P05067,UNIPROT,P05067,1999-11-01
GGCX,protein,P38435,UNIPROT,carboxylation,F2,protein,P00734,UNIPROT,P00734,1999-11-01
NTRK2,protein,Q16620,UNIPROT,phosphorylation,NTRK2,protein,Q16620,UNIPROT,Q16620,1999-11-01
JUN,protein,P05412,UNIPROT,transcriptional_regulation,CFI,protein,P05156,UNIPROT,P05156,1999-11-01
GGCX,protein,P38435,UNIPROT,carboxylation,F2,protein,P00734,UNIPROT,P00734,1999-11-01
CDK5,protein,Q00535,UNIPROT,phosphorylation,SRC,protein,P12931,UNIPROT,P12931,1999-11-01
RPS6KA1,protein,Q15418,UNIPROT,phosphorylation,BAD,protein,Q92934,UNIPROT,Q92934,1999-11-12
MAPK9,protein,P45984,UNIPROT,phosphorylation,MYC,protein,P01106,UNIPROT,P01106,1999-11-12
MAPK8,protein,P45983,UNIPROT,phosphorylation,MYC,protein,P01106,UNIPROT,P01106,1999-11-12
RPS6KA1,protein,Q15418,UNIPROT,phosphorylation,CREB1,protein,P16220,UNIPROT,P16220,1999-11-12
JAG1,protein,P78504,UNIPROT,binding,NOTCH2,protein,Q04721,UNIPROT,Q04721,1999-11-12
MAPK8,protein,P45983,UNIPROT,phosphorylation,MYC,protein,P01106,UNIPROT,P01106,1999-11-12
MAPK9,protein,P45984,UNIPROT,phosphorylation,MYC,protein,P01106,UNIPROT,P01106,1999-11-12
AFDN,protein,P55196,UNIPROT,binding,RIN1,protein,Q13671,UNIPROT,Q13671,1999-11-15
PDPK1,protein,O15530,UNIPROT,phosphorylation,SGK2,protein,Q9HBY8,UNIPROT,Q9HBY8,1999-11-15
NKRF,protein,O15226,UNIPROT,transcriptional_regulation,IFNB1,protein,P01574,UNIPROT,P01574,1999-11-15
PDPK1,protein,O15530,UNIPROT,phosphorylation,SGK3,protein,Q96BR1,UNIPROT,Q96BR1,1999-11-15
AFDN,protein,P55196,UNIPROT,binding,RIT1,protein,Q92963,UNIPROT,Q92963,1999-11-15
PDPK1,protein,O15530,UNIPROT,phosphorylation,SGK3,protein,Q96BR1,UNIPROT,Q96BR1,1999-11-15
RLF,protein,Q13129,UNIPROT,binding,RIN1,protein,Q13671,UNIPROT,Q13671,1999-11-15
RLF,protein,Q13129,UNIPROT,binding,RIT1,protein,Q92963,UNIPROT,Q92963,1999-11-15
PDPK1,protein,O15530,UNIPROT,phosphorylation,SGK2,protein,Q9HBY8,UNIPROT,Q9HBY8,1999-11-15
RALGDS,protein,Q12967,UNIPROT,binding,RIN1,protein,Q13671,UNIPROT,Q13671,1999-11-15
RALGDS,protein,Q12967,UNIPROT,binding,RIT1,protein,Q92963,UNIPROT,Q92963,1999-11-15
EIF2AK1,protein,Q9BQI3,UNIPROT,phosphorylation,EIF2S1,protein,P05198,UNIPROT,P05198,1999-11-16
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,KIF1C,protein,O43896,UNIPROT,O43896,1999-11-19
TAOK3,protein,Q9H2K8,UNIPROT,phosphorylation,TAOK3,protein,Q9H2K8,UNIPROT,Q9H2K8,1999-11-19
CSNK2A2,protein,P19784,UNIPROT,phosphorylation,KIF1C,protein,O43896,UNIPROT,O43896,1999-11-19
AKT1,protein,P31749,UNIPROT,phosphorylation,NCF1,protein,P14598,UNIPROT,P14598,1999-11-19
TAOK3,protein,Q9H2K8,UNIPROT,phosphorylation,TAOK3,protein,Q9H2K8,UNIPROT,Q9H2K8,1999-11-19
AKT1,protein,P31749,UNIPROT,phosphorylation,NCF1,protein,P14598,UNIPROT,P14598,1999-11-19
EPHB2,protein,P29323,UNIPROT,phosphorylation,RRAS,protein,P10301,UNIPROT,P10301,1999-11-23
MTOR,protein,P42345,UNIPROT,phosphorylation,RPS6KB1,protein,P23443,UNIPROT,P23443,1999-11-25
MAPK1,protein,P28482,UNIPROT,phosphorylation,MAP2K1,protein,Q02750,UNIPROT,Q02750,1999-11-26
AKT2,protein,P31751,UNIPROT,phosphorylation,RAF1,protein,P04049,UNIPROT,P04049,1999-11-26
MTOR,protein,P42345,UNIPROT,phosphorylation,RPS6KB1,protein,P23443,UNIPROT,P23443,1999-11-26
AKT1,protein,P31749,UNIPROT,phosphorylation,RAF1,protein,P04049,UNIPROT,P04049,1999-11-26
CASP3,protein,P42574,UNIPROT,cleavage,AKT1,protein,P31749,UNIPROT,P31749,1999-11-29
PRKCG,protein,P05129,UNIPROT,phosphorylation,DAB2,protein,P98082,UNIPROT,P98082,1999-11-05
ATM,protein,Q13315,UNIPROT,phosphorylation,BRCA1,protein,P38398,UNIPROT,P38398,1999-11-05
CDK1,protein,P06493,UNIPROT,phosphorylation,BRCA1,protein,P38398,UNIPROT,P38398,1999-11-05
CSNK1E,protein,P49674,UNIPROT,phosphorylation,CSNK1E,protein,P49674,UNIPROT,P49674,1999-11-05
CSNK1E,protein,P49674,UNIPROT,phosphorylation,CSNK1E,protein,P49674,UNIPROT,P49674,1999-11-05
PRKCD,protein,Q05655,UNIPROT,phosphorylation,DAB2,protein,P98082,UNIPROT,P98082,1999-11-05
THAP12,protein,O43422,UNIPROT,phosphorylation,EIF2S1,protein,P05198,UNIPROT,P05198,1999-11-05
ATM,protein,Q13315,UNIPROT,phosphorylation,BRCA1,protein,P38398,UNIPROT,P38398,1999-11-05
CSNK1E,protein,P49674,UNIPROT,phosphorylation,CSNK1E,protein,P49674,UNIPROT,P49674,1999-11-05
CSNK1E,protein,P49674,UNIPROT,phosphorylation,CSNK1E,protein,P49674,UNIPROT,P49674,1999-11-05
TYK2,protein,P29597,UNIPROT,phosphorylation,STAT3,protein,P40763,UNIPROT,P40763,1999-11-05
PRKCD,protein,Q05655,UNIPROT,phosphorylation,DAB2,protein,P98082,UNIPROT,P98082,1999-11-05
CSNK1E,protein,P49674,UNIPROT,phosphorylation,CSNK1E,protein,P49674,UNIPROT,P49674,1999-11-05
CSNK1E,protein,P49674,UNIPROT,phosphorylation,CSNK1E,protein,P49674,UNIPROT,P49674,1999-11-05
ATM,protein,Q13315,UNIPROT,phosphorylation,BRCA1,protein,P38398,UNIPROT,P38398,1999-11-05
CSNK1E,protein,P49674,UNIPROT,phosphorylation,CSNK1E,protein,P49674,UNIPROT,P49674,1999-11-05
PRKCB,protein,P05771,UNIPROT,phosphorylation,DAB2,protein,P98082,UNIPROT,P98082,1999-11-05
ATM,protein,Q13315,UNIPROT,phosphorylation,BRCA1,protein,P38398,UNIPROT,P38398,1999-11-05
ATM,protein,Q13315,UNIPROT,phosphorylation,BRCA1,protein,P38398,UNIPROT,P38398,1999-11-05
CDK2,protein,P24941,UNIPROT,phosphorylation,BRCA1,protein,P38398,UNIPROT,P38398,1999-11-05
ATM,protein,Q13315,UNIPROT,phosphorylation,BRCA1,protein,P38398,UNIPROT,P38398,1999-11-05
ATM,protein,Q13315,UNIPROT,phosphorylation,BRCA1,protein,P38398,UNIPROT,P38398,1999-11-05
ATM,protein,Q13315,UNIPROT,phosphorylation,BRCA1,protein,P38398,UNIPROT,P38398,1999-11-05
CSNK1E,protein,P49674,UNIPROT,phosphorylation,CSNK1E,protein,P49674,UNIPROT,P49674,1999-11-05
CDK1,protein,P06493,UNIPROT,phosphorylation,BRCA1,protein,P38398,UNIPROT,P38398,1999-11-05
ATM,protein,Q13315,UNIPROT,phosphorylation,BRCA1,protein,P38398,UNIPROT,P38398,1999-11-05
SFRP1,protein,Q8N474,UNIPROT,binding,WNT1,protein,P04628,UNIPROT,P04628,1999-11-01
MAPK8IP2,protein,Q13387,UNIPROT,binding,MAPK8,protein,P45983,UNIPROT,P45983,1999-10-01
HMOX2,protein,P30519,UNIPROT,chemical_modification,heme,smallmolecule,CHEBI:30413,ChEBI,CHEBI:30413,1999-10-01
ATF1,protein,P18846,UNIPROT,transcriptional_regulation,IL10,protein,P22301,UNIPROT,P22301,1999-10-01
PRKACA,protein,P17612,UNIPROT,phosphorylation,SYN2,protein,Q92777,UNIPROT,Q92777,1999-10-01
CREB1,protein,P16220,UNIPROT,transcriptional_regulation,IL10,protein,P22301,UNIPROT,P22301,1999-10-01
MAPK8IP2,protein,Q13387,UNIPROT,binding,MAPK9,protein,P45984,UNIPROT,P45984,1999-10-01
MAPK8IP1,protein,Q9UQF2,UNIPROT,binding,MAP2K7,protein,O14733,UNIPROT,O14733,1999-10-01
PRKCA,protein,P17252,UNIPROT,phosphorylation,GRIA2,protein,P42262,UNIPROT,P42262,1999-10-01
SOX17,protein,Q9H6I2,UNIPROT,binding,CTNNB1,protein,P35222,UNIPROT,P35222,1999-10-01
CAMK1,protein,Q14012,UNIPROT,phosphorylation,SYN1,protein,P17600,UNIPROT,P17600,1999-10-01
PRKACA,protein,P17612,UNIPROT,phosphorylation,SYN1,protein,P17600,UNIPROT,P17600,1999-10-01
MAPK8IP2,protein,Q13387,UNIPROT,binding,MAPK8IP1,protein,Q9UQF2,UNIPROT,Q9UQF2,1999-10-01
HMOX1,protein,P09601,UNIPROT,chemical_modification,heme,smallmolecule,CHEBI:30413,ChEBI,CHEBI:30413,1999-10-01
MAPK8IP1,protein,Q9UQF2,UNIPROT,binding,MAPK8,protein,P45983,UNIPROT,P45983,1999-10-01
SOX3,protein,P41225,UNIPROT,binding,CTNNB1,protein,P35222,UNIPROT,P35222,1999-10-01
MAPK8IP2,protein,Q13387,UNIPROT,binding,MAP2K7,protein,O14733,UNIPROT,O14733,1999-10-01
MAPK8IP1,protein,Q9UQF2,UNIPROT,binding,MAPK9,protein,P45984,UNIPROT,P45984,1999-10-01
ADSS2,protein,P30520,UNIPROT,chemical_modification,IMP,smallmolecule,CHEBI:17202,ChEBI,CHEBI:17202,1999-10-01
TAOK2,protein,Q9UL54,UNIPROT,binding,MAP2K3,protein,P46734,UNIPROT,P46734,1999-10-01
ADSS1,protein,Q8N142,UNIPROT,chemical_modification,IMP,smallmolecule,CHEBI:17202,ChEBI,CHEBI:17202,1999-10-01
TAOK2,protein,Q9UL54,UNIPROT,binding,MAP2K6,protein,P52564,UNIPROT,P52564,1999-10-01
IMP,smallmolecule,CHEBI:17202,ChEBI,precursor_of,GDP,smallmolecule,CHEBI:17552,ChEBI,CHEBI:17552,1999-10-01
ADSS2,protein,P30520,UNIPROT,chemical_modification,"N(6)-(1,2-dicarboxylatoethyl)-AMP(4-)",smallmolecule,CHEBI:57567,ChEBI,CHEBI:57567,1999-10-01
ADSS1,protein,Q8N142,UNIPROT,chemical_modification,L-aspartate(1-),smallmolecule,CHEBI:29991,ChEBI,CHEBI:29991,1999-10-01
ADSS1,protein,Q8N142,UNIPROT,chemical_modification,GDP,smallmolecule,CHEBI:17552,ChEBI,CHEBI:17552,1999-10-01
ADSS2,protein,P30520,UNIPROT,chemical_modification,GDP,smallmolecule,CHEBI:17552,ChEBI,CHEBI:17552,1999-10-01
ADSS1,protein,Q8N142,UNIPROT,chemical_modification,"N(6)-(1,2-dicarboxylatoethyl)-AMP(4-)",smallmolecule,CHEBI:57567,ChEBI,CHEBI:57567,1999-10-01
CASP8,protein,Q14790,UNIPROT,cleavage,RIPK1,protein,Q13546,UNIPROT,Q13546,1999-10-01
ADSS2,protein,P30520,UNIPROT,chemical_modification,L-aspartate(1-),smallmolecule,CHEBI:29991,ChEBI,CHEBI:29991,1999-10-01
L-aspartate(1-),smallmolecule,CHEBI:29991,ChEBI,precursor_of,"N(6)-(1,2-dicarboxylatoethyl)-AMP(4-)",smallmolecule,CHEBI:57567,ChEBI,CHEBI:57567,1999-10-01
SEMA7A,protein,O75326,UNIPROT,binding,PLXNC1,protein,O60486,UNIPROT,O60486,1999-10-01
STAP1,protein,Q9ULZ2,UNIPROT,binding,TEC,protein,P42680,UNIPROT,P42680,1999-10-12
PTK2B,protein,Q14289,UNIPROT,phosphorylation,STAP1,protein,Q9ULZ2,UNIPROT,Q9ULZ2,1999-10-12
TEC,protein,P42680,UNIPROT,phosphorylation,STAP1,protein,Q9ULZ2,UNIPROT,Q9ULZ2,1999-10-12
MAPK3,protein,P27361,UNIPROT,phosphorylation,CALD1,protein,Q05682,UNIPROT,Q05682,1999-10-15
MAPK3,protein,P27361,UNIPROT,phosphorylation,CALD1,protein,Q05682,UNIPROT,Q05682,1999-10-15
BTRC,protein,Q9Y297,UNIPROT,binding,NFKBIB,protein,Q15653,UNIPROT,Q15653,1999-10-15
MAPK1,protein,P28482,UNIPROT,phosphorylation,CALD1,protein,Q05682,UNIPROT,Q05682,1999-10-15
MAPK1,protein,P28482,UNIPROT,phosphorylation,CALD1,protein,Q05682,UNIPROT,Q05682,1999-10-15
RAD51,protein,Q06609,UNIPROT,binding,SYCP3,protein,Q8IZU3,UNIPROT,Q8IZU3,1999-10-18
DMC1,protein,Q14565,UNIPROT,binding,SYCP3,protein,Q8IZU3,UNIPROT,Q8IZU3,1999-10-18
XIAP,protein,P98170,UNIPROT,binding,CASP3,protein,P42574,UNIPROT,P42574,1999-10-21
PRKCB,protein,P05771,UNIPROT,phosphorylation,CYTH2,protein,Q99418,UNIPROT,Q99418,1999-10-21
PRKCG,protein,P05129,UNIPROT,phosphorylation,CYTH2,protein,Q99418,UNIPROT,Q99418,1999-10-21
PRKCA,protein,P17252,UNIPROT,phosphorylation,CYTH2,protein,Q99418,UNIPROT,Q99418,1999-10-21
DTX4,protein,Q9Y2E6,UNIPROT,ubiquitination,TBK1,protein,Q9UHD2,UNIPROT,Q9UHD2,1999-10-22
AKT1,protein,P31749,UNIPROT,phosphorylation,CASP9,protein,P55211,UNIPROT,P55211,1999-10-22
